Benchmark,Hits-dl1-0,Hits-dl1-1,Hits-dl1-2,Hits-dl1-3,Hits-il1-0,Hits-il1-1,Hits-il1-2,Hits-il1-3,Hits-l2-0,Hits-l2-1,Hits-l2-2,Hits-l2-3,Hits-mod-mm-0,Hits-l3-0,Hits-data-dl1-0,Hits-data-dl1-1,Hits-data-dl1-2,Hits-data-dl1-3,Hits-data-il1-0,Hits-data-il1-1,Hits-data-il1-2,Hits-data-il1-3,Hits-data-l2-0,Hits-data-l2-1,Hits-data-l2-2,Hits-data-l2-3,Hits-data-mod-mm-0,Hits-data-l3-0,Hits-instructions-dl1-0,Hits-instructions-dl1-1,Hits-instructions-dl1-2,Hits-instructions-dl1-3,Hits-instructions-il1-0,Hits-instructions-il1-1,Hits-instructions-il1-2,Hits-instructions-il1-3,Hits-instructions-l2-0,Hits-instructions-l2-1,Hits-instructions-l2-2,Hits-instructions-l2-3,Hits-instructions-mod-mm-0,Hits-instructions-l3-0,Misses-dl1-0,Misses-dl1-1,Misses-dl1-2,Misses-dl1-3,Misses-il1-0,Misses-il1-1,Misses-il1-2,Misses-il1-3,Misses-l2-0,Misses-l2-1,Misses-l2-2,Misses-l2-3,Misses-mod-mm-0,Misses-l3-0,Misses-data-dl1-0,Misses-data-dl1-1,Misses-data-dl1-2,Misses-data-dl1-3,Misses-data-il1-0,Misses-data-il1-1,Misses-data-il1-2,Misses-data-il1-3,Misses-data-l2-0,Misses-data-l2-1,Misses-data-l2-2,Misses-data-l2-3,Misses-data-mod-mm-0,Misses-data-l3-0,Misses-instructions-dl1-0,Misses-instructions-dl1-1,Misses-instructions-dl1-2,Misses-instructions-dl1-3,Misses-instructions-il1-0,Misses-instructions-il1-1,Misses-instructions-il1-2,Misses-instructions-il1-3,Misses-instructions-l2-0,Misses-instructions-l2-1,Misses-instructions-l2-2,Misses-instructions-l2-3,Misses-instructions-mod-mm-0,Misses-instructions-l3-0,Accesses-dl1-0,Accesses-dl1-1,Accesses-dl1-2,Accesses-dl1-3,Accesses-il1-0,Accesses-il1-1,Accesses-il1-2,Accesses-il1-3,Accesses-l2-0,Accesses-l2-1,Accesses-l2-2,Accesses-l2-3,Accesses-mod-mm-0,Accesses-l3-0,Invalids-dl1-0,Invalids-dl1-1,Invalids-dl1-2,Invalids-dl1-3,Invalids-il1-0,Invalids-il1-1,Invalids-il1-2,Invalids-il1-3,Invalids-l2-0,Invalids-l2-1,Invalids-l2-2,Invalids-l2-3,Invalids-mod-mm-0,Invalids-l3-0,Up-down-dl1-0,Up-down-dl1-1,Up-down-dl1-2,Up-down-dl1-3,Up-down-il1-0,Up-down-il1-1,Up-down-il1-2,Up-down-il1-3,Up-down-l2-0,Up-down-l2-1,Up-down-l2-2,Up-down-l2-3,Up-down-mod-mm-0,Up-down-l3-0,Down-up-dl1-0,Down-up-dl1-1,Down-up-dl1-2,Down-up-dl1-3,Down-up-il1-0,Down-up-il1-1,Down-up-il1-2,Down-up-il1-3,Down-up-l2-0,Down-up-l2-1,Down-up-l2-2,Down-up-l2-3,Down-up-mod-mm-0,Down-up-l3-0,Ciclos pen ROB propios,Ciclos de ejecucion,Unnamed: 142
mcf,152448011,0,0,0,472490880,0,0,0,11050705,0,0,0,0,9344542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31465460,0,0,0,333668,0,0,0,20684119,0,0,0,0,11339526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183913471,0,0,0,472824548,0,0,0,31734824,0,0,0,0,20684068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193112231,0,0,0,495559955,0,0,0,33279039,0,0,0,0,21652640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825960852,2291354063,
povray,185416919,0,0,0,158087350,0,0,0,3428767,0,0,0,0,5027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391314,0,0,0,2045868,0,0,0,8414,0,0,0,0,3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186808233,0,0,0,160133218,0,0,0,3437181,0,0,0,0,8414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212651456,0,0,0,182222219,0,0,0,3896911,0,0,0,0,9734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25184197,369096920,
libquantum,104359745,0,0,0,7618579,0,0,0,1276,0,0,0,0,196289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081484,0,0,0,7260,0,0,0,4087304,0,0,0,0,3891013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108441229,0,0,0,7625839,0,0,0,4088580,0,0,0,0,4087302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149713502,0,0,0,7846003,0,0,0,5495562,0,0,0,0,5488458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255901707,1115222724,
gamess,171155124,0,0,0,82606474,0,0,0,1824310,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,1824284,0,0,0,175,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171155325,0,0,0,84430758,0,0,0,1824485,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217978592,0,0,0,107476415,0,0,0,2335990,0,0,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8816581,274038018,
lbm,112954853,0,0,0,30750296,0,0,0,2631795,0,0,0,0,6283494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21047636,0,0,0,332040,0,0,0,18742499,0,0,0,0,12459003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134002489,0,0,0,31082336,0,0,0,21374294,0,0,0,0,18742497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186042067,0,0,0,43173386,0,0,0,29254609,0,0,0,0,25636596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194030026,3578654131,
dealII,178056140,0,0,0,88543110,0,0,0,1628537,0,0,0,0,1686231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283891,0,0,0,87406,0,0,0,1740415,0,0,0,0,54184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181340031,0,0,0,88630516,0,0,0,3368952,0,0,0,0,1740415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212411133,0,0,0,99704010,0,0,0,4157457,0,0,0,0,1971215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74625964,360176831,
cactusADM,200074870,0,0,0,53719355,0,0,0,4702009,0,0,0,0,478006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7967113,0,0,0,201170,0,0,0,3464525,0,0,0,0,2986466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208041983,0,0,0,53920525,0,0,0,8166534,0,0,0,0,3464472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214534751,0,0,0,59420023,0,0,0,10355646,0,0,0,0,5653202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997206860,844242140,
sphinx3,184441950,0,0,0,152261653,0,0,0,1577047,0,0,0,0,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105058,0,0,0,1512277,0,0,0,40227,0,0,0,0,29738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184547008,0,0,0,153773930,0,0,0,1617274,0,0,0,0,40227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208536582,0,0,0,173735771,0,0,0,1829251,0,0,0,0,46417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8062519,351061783,
gobmk,197895226,0,0,0,195152139,0,0,0,10382510,0,0,0,0,1144836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972898,0,0,0,9638001,0,0,0,1227096,0,0,0,0,82260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199868124,0,0,0,204790140,0,0,0,11609606,0,0,0,0,1227096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220729145,0,0,0,225656330,0,0,0,12882957,0,0,0,0,1523909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62354022,526153008,
bwaves,169194938,0,0,0,93399931,0,0,0,22160186,0,0,0,0,1089138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30188260,0,0,0,159609,0,0,0,8183897,0,0,0,0,7094465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199383198,0,0,0,93559540,0,0,0,30344083,0,0,0,0,8183603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260752864,0,0,0,109777545,0,0,0,32310352,0,0,0,0,10145132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387472848,2288540871,
